"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.261098625E0,-9.280700684E-2,1.893262939E0,9.431586914E0,9.620181361E0
2.271148625E0,2.749781799E-1,1.878743134E0,9.529633026E0,9.716953966E0
2.281197625E0,3.655398560E-1,1.921254730E0,9.677675171E0,9.873309265E0
2.291246625E0,2.905458069E-1,1.949246521E0,9.629176025E0,9.828784757E0
2.301296625E0,3.013233948E-1,1.930385742E0,9.722432098E0,9.916797407E0
2.311345625E0,2.731819153E-1,1.899549866E0,9.901310120E0,1.008557684E1
2.321394625E0,3.794609070E-1,1.887874146E0,1.000055374E1,1.018425915E1
2.331443625E0,5.962101746E-1,1.770967255E0,1.013826736E1,1.030903762E1
2.341493625E0,1.013841705E0,1.696871338E0,1.021086639E1,1.040043460E1
2.351542625E0,1.558858337E0,1.783391418E0,1.021939865E1,1.049031139E1
2.361591625E0,2.110012207E0,1.884281616E0,1.025068359E1,1.063386961E1
2.371641625E0,2.440824280E0,2.021995239E0,1.031445099E1,1.079045815E1
2.381690625E0,2.568658447E0,2.134561157E0,1.030382309E1,1.083158012E1
2.391739625E0,2.625689850E0,2.261796570E0,1.055185730E1,1.110637940E1
2.401789625E0,2.676733704E0,2.481539612E0,1.068897217E1,1.129500191E1
2.411838625E0,2.855462036E0,2.618654480E0,1.080243622E1,1.147622076E1
2.421887625E0,3.243455200E0,2.717898102E0,1.077668976E1,1.157773786E1
2.431937625E0,3.733985138E0,2.832559662E0,1.074136322E1,1.171933970E1
2.441986625E0,4.152065735E0,2.968177643E0,1.061008621E1,1.177385484E1
2.452035625E0,4.519701233E0,3.037034454E0,1.051608170E1,1.184226548E1
2.462085625E0,4.715194702E0,3.057392120E0,1.061981598E1,1.201504054E1
2.472134625E0,4.762945404E0,3.107837219E0,1.071112610E1,1.212734610E1
2.482183625E0,4.824916534E0,3.034190369E0,1.071112610E1,1.213319220E1
2.492233625E0,4.783602448E0,2.922672272E0,1.068208649E1,1.206365771E1
2.502282625E0,4.687951355E0,2.857857056E0,1.070199509E1,1.202817250E1
2.512331625E0,4.740641785E0,2.831960907E0,1.073028625E1,1.206783867E1
2.522381625E0,4.940476227E0,2.904559937E0,1.072669373E1,1.216169117E1
2.532430625E0,5.213059387E0,3.039579163E0,1.063179108E1,1.222497489E1
2.542479625E0,5.361849976E0,3.194806366E0,1.050545380E1,1.221968831E1
2.552529625E0,5.415438538E0,3.316054230E0,1.036759048E1,1.215771865E1
2.562578625E0,5.347779236E0,3.334166565E0,1.021894958E1,1.200592937E1
2.572627625E0,5.091063080E0,3.342698822E0,1.018676651E1,1.186856228E1
2.582676625E0,4.879552917E0,3.396736450E0,1.026086243E1,1.185888498E1
2.592726625E0,4.848417664E0,3.475323029E0,1.037073395E1,1.196399376E1
2.602775625E0,4.985233154E0,3.584745483E0,1.054018158E1,1.219829404E1
2.612824625E0,5.299429779E0,3.609294434E0,1.068313431E1,1.245954738E1
2.622874625E0,5.714516602E0,3.598666534E0,1.083656525E1,1.276860396E1
2.632923625E0,5.991291046E0,3.638334045E0,1.097592545E1,1.302320937E1
2.642972625E0,6.131250000E0,3.666774902E0,1.086979614E1,1.300730306E1
2.653022625E0,6.085594940E0,3.703448639E0,1.062984512E1,1.279623401E1
2.663071625E0,5.878276062E0,3.686982880E0,1.035516632E1,1.246504881E1
2.673120625E0,5.610632629E0,3.712729340E0,1.021400986E1,1.223068089E1
2.683170625E0,5.428611145E0,3.717968445E0,9.985285492E0,1.195822038E1
2.693219625E0,5.295238495E0,3.790118408E0,9.655670929E0,1.164630969E1
2.703268625E0,5.231022034E0,3.840563507E0,9.169332275E0,1.123343999E1
2.713318625E0,5.274731140E0,3.856131134E0,8.592431946E0,1.079455523E1
2.723367625E0,5.265300751E0,3.928580475E0,8.130193176E0,1.045261583E1
2.733416625E0,5.182522888E0,4.080963593E0,7.933352509E0,1.031750403E1
2.743466625E0,5.127287750E0,4.276457062E0,7.686216431E0,1.018111427E1
2.753515625E0,5.111271057E0,4.436324615E0,7.335196381E0,9.980539758E0
2.763564625E0,5.107079773E0,4.567002869E0,6.983427887E0,9.783048812E0
2.773614625E0,5.107229462E0,4.693789215E0,6.693929901E0,9.639717189E0
2.783663625E0,5.103636932E0,4.848118286E0,6.466852112E0,9.558846012E0
2.793712625E0,5.073998566E0,5.032983856E0,6.397396545E0,9.591823106E0
2.803762625E0,5.115312653E0,5.209466858E0,6.263275452E0,9.619438022E0
2.813811625E0,5.203479309E0,5.383854218E0,6.022426300E0,9.608938635E0
